Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
Ambrose (Part Five),Linda Laurie ,1959-01-31,52,9,
The Worryin' Kind,Tommy Sands And The Raiders ,1959-01-31,69,9,
The Shag (Is Totally Cool),Billy Graves ,1959-01-31,53,9,
Gazachstahagen,The Wild-Cats ,1959-01-31,57,8,
Yellow Bird,The Mills Brothers ,1959-01-31,70,5,
"Raspberries, Strawberries",The Kingston Trio ,1959-01-31,70,8,
I Talk To The Trees,Edmundo Ros and His Orchestra ,1959-01-31,77,4,
Save My Soul,Jack Scott ,1959-01-31,73,3,
Good Rockin' Tonight,Pat Boone ,1959-01-31,49,8,
The One Rose (That's Left In My Heart),Teresa Brewer ,1959-01-31,75,5,
First Anniversary,Cathy Carr ,1959-01-31,42,12,
I Got A Wife,The Mark IV ,1959-01-31,24,12,
O' Falling Star,The Four Knights ,1959-01-31,83,3,
Teach Me Tonight Cha Cha,The DeCastro Sisters ,1959-01-31,76,4,
There Must Be A Way,Joni James ,1959-01-31,33,12,
I've Had It,The Bell Notes ,1959-01-31,6,16,
She Say (Oom Dooby Doom),The Diamonds ,1959-01-31,18,14,
Who Cares,Don Gibson ,1959-01-31,43,9,
"Teasable, Pleasable You",Buddy Knox ,1959-01-31,85,2,
It's Just A Matter Of Time,Brook Benton ,1959-01-31,3,18,
Matilda,Cookie And His Cupcakes ,1959-01-31,47,15,
"Alright, Okay, You Win",Peggy Lee ,1959-01-31,68,6,
Wicked Ruby,Danny Zella and his Zell Rocks ,1959-01-31,71,5,
Evening Rain,Earl Grant ,1959-01-31,63,7,
Plain Jane,Bobby Darin ,1959-01-31,38,9,
Raw-Hide,Link Wray And The Wraymen ,1959-01-31,23,13,
The Story Of My Love,Conway Twitty ,1959-01-31,28,12,
Tragedy,Thomas Wayne With the Delons ,1959-01-31,5,19,
What Little Girl,Frankie Avalon ,1958-10-25,79,2,
Paris,Perez Prado And His Orchestra ,1958-10-25,95,1,
Bluebell,Mitch Miller and his Orchestra and Chorus ,1958-10-18,94,1,
Geraldine,Jack Scott ,1958-10-18,96,1,
Charlie Brown,The Coasters ,1959-02-07,2,15,
(I'll Be With You In) Apple Blossom Time,Tab Hunter ,1959-02-07,31,11,
My Man,Peggy Lee ,1959-02-07,81,6,
Nola,Billy Williams ,1959-02-07,39,12,
Give Me Your Love,Nat King Cole ,1959-02-07,82,4,
Teardrops Will Fall,Dicky Doo And The Don'ts ,1959-02-07,61,6,
The Hanging Tree,Marty Robbins ,1959-02-07,38,13,
Madrid,Nat King Cole ,1959-02-07,85,3,
Nola,The Morgan Brothers ,1959-02-14,50,8,
Sea Cruise,Frankie Ford ,1959-02-14,14,17,
Jupiter-C,Pat and the Satellites ,1959-02-14,81,4,
(Night Time Is) The Right Time,Ray Charles with the Raylettes ,1959-02-14,95,1,
"Blah, Blah, Blah",Nicola Paone ,1959-02-14,57,7,
Midnight Oil,Charlie Blackwell ,1959-02-14,55,9,
Are You Lonesome Tonight,Jaye P. Morgan ,1959-02-14,65,6,
Venus,Frankie Avalon ,1959-02-14,1,28,
Moonlight Serenade,The Rivieras ,1959-02-14,47,11,
Anthony Boy,Chuck Berry ,1959-02-21,60,5,
Alvin's Harmonica,David Seville And The Chipmunks ,1959-02-21,3,15,
Please Mr. Sun,Tommy Edwards ,1959-02-21,11,13,
When The Saints Go Marching In,Fats Domino ,1959-02-21,50,8,
Telling Lies,Fats Domino ,1959-02-21,50,9,
Miss You,Jaye P. Morgan ,1959-02-21,78,5,
Since I Don't Have You,The Skyliners ,1959-02-21,12,19,
Pink Shoe Laces,Dodie Stevens ,1959-02-21,3,19,
I Don't Need You Anymore,The Teddy Bears ,1959-02-21,98,1,
Never Be Anyone Else But You,Ricky Nelson ,1959-02-28,6,16,
Tomboy,Perry Como ,1959-02-28,29,9,
Hurtin' Inside,Brook Benton ,1959-02-28,78,4,
It Doesn't Matter Anymore,Buddy Holly ,1959-02-28,13,14,
I'm Never Gonna Tell,Jimmie Rodgers ,1959-02-28,36,11,
Bunny Hop,The Applejacks ,1959-02-28,70,4,
I've Got You Under My Skin,Louis Prima And Keely Smith ,1959-02-28,95,2,
Shirley,John Fred And The Playboys ,1959-02-28,82,5,
Glad Rags,Tennessee Ernie Ford ,1959-02-28,100,1,
Green Chri$tma$,Stan Freberg ,1959-01-03,44,2,
The Voice In My Heart,Eydie Gorme ,1959-01-03,88,1,
Funny,Jesse Belvin ,1959-01-03,81,4,
Heartbeat,Buddy Holly ,1959-01-03,82,4,
Come Softly To Me,The Fleetwoods ,1959-04-04,1,16,
It's Late,Ricky Nelson ,1959-04-04,9,13,
Guitar Boogie Shuffle,The Virtues ,1959-04-04,5,16,
Where Were You (On Our Wedding Day)?,Lloyd Price ,1959-04-04,23,11,
If I Didn't Care,Connie Francis ,1959-04-04,22,11,
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires ,1959-04-04,2,15,
"No Other Arms, No Other Lips",The Chordettes ,1959-04-04,27,11,
This Should Go On Forever,Rod Bernard ,1959-04-04,20,12,
The Morning Side Of The Mountain,Tommy Edwards ,1959-04-04,27,12,
The Tijuana Jail,The Kingston Trio ,1959-04-04,12,13,
I Need Your Love Tonight,Elvis Presley With The Jordanaires ,1959-04-04,4,13,
